0,1,2,Label,id,indegree
8.203464675461775e+17,NetContagions,53.0,,,
27403471.0,cecim,40.0,,,
7.09642077315924e+17,AramisLabParis,13.0,,,
2603978460.0,misicbata,66.0,,,
1961016907.0,FreebornGroup,76.0,,,
567698748.0,wetuad,162.0,,,
2210857693.0,VeraPancaldi,47.0,,,
505744768.0,NinoNaf,34.0,,,
1672632270.0,WorldPopProject,17.0,,,
9.140615582543299e+17,ccs18gr,101.0,,,
167693954.0,dhillon_p,19.0,,,
114288615.0,arutherfordium,95.0,,,
320922867.0,JSMF,70.0,,,
1406622804.0,BettencourtLuis,22.0,,,
1376401838.0,iyadrahwan,67.0,,,
2924669003.0,Max_Planck_CHM,88.0,,,
1855503205.0,AmaralLab,111.0,,,
93476253.0,dfreelon,65.0,,,
2538040298.0,Sarah_Morgan_UK,118.0,,,
4053731357.0,Ghoshal_G,30.0,,,
376412811.0,FoxandtheFlu,46.0,,,
274712575.0,BinghamtonCoCo,21.0,,,
7.203892703351357e+17,TheWebConf,6.0,,,
9.653404886928384e+17,a_cardillo,96.0,,,
1061622836.0,MangioniG,100.0,,,
263702718.0,catera_roma,23.0,,,
398927965.0,sanmelons,244.0,,,
36119322.0,chpoletto,159.0,,,
272065025.0,lajello,225.0,,,
9.231962606303683e+17,ICCS2018,16.0,,,
1360175358.0,m_starnini,131.0,,,
874075994.0,BioFrontiers,15.0,,,
3526601.0,derekgreene,15.0,,,
9.373580159043379e+17,ComuneLab,214.0,,,
993739562.0,GrandataCorp,1.0,,,
156031097.0,apanisson,133.0,,,
2431801963.0,laetitiagvn,35.0,,,
44217911.0,rschifan,190.0,,,
1479301693.0,_alephsys_,110.0,,,
226571318.0,jblumenstock,15.0,,,
1523174335.0,KoljaKleineberg,123.0,,,
3230611617.0,ComplexAndBio,11.0,,,
126046965.0,fariba_k,162.0,,,
807365647.0,C4COMPUTATION,100.0,,,
8.97866837333037e+17,CNS_NRT,133.0,,,
1960705284.0,ISI_Fondazione,113.0,,,
255051048.0,fblamanna,109.0,,,
562790169.0,eflegara,14.0,,,
24669093.0,jlmateos,315.0,,,
260415455.0,graphcommons,67.0,,,
500364862.0,dorogovtsev,8.0,,,
1467737210.0,elisa_omodei,258.0,,,
1632913393.0,CSLab_UPF,75.0,,,
2912834655.0,clabbarcelona,85.0,,,
25805235.0,robinberjon,35.0,,,
1028855810.0,ChristosEllina1,298.0,,,
3000719200.0,CIDIDteam,10.0,,,
194399316.0,cgershen,76.0,,,
1937243048.0,zoltantoroczkai,88.0,,,
8.297349803518444e+17,HacklScience,77.0,,,
577195836.0,gagliol,464.0,,,
16174436.0,suneman,113.0,,,
8.216549378516132e+17,netsci2018,108.0,,,
